City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Pisco,PE,2022-04-26 16:01:39,-13.7,-76.2167,68.02,83,100,5.73
210,Opuwo,NA,2022-04-26 16:03:37,-18.0607,13.84,84.33,24,1,3.76
211,Changping,CN,2022-04-26 16:03:37,40.2186,116.2197,60.44,12,95,6.46
212,Baruun-Urt,MN,2022-04-26 16:03:38,46.6806,113.2792,34.99,15,99,5.59
213,Kasane,BW,2022-04-26 16:03:38,-17.8167,25.15,77.95,42,56,6.87
214,Meaford,CA,2022-04-26 16:03:39,44.6001,-80.583,46.26,79,100,10.71
215,Lorengau,PG,2022-04-26 16:03:39,-2.0226,147.2712,81.61,81,19,7.16
216,Prince Rupert,CA,2022-04-26 16:03:35,54.3161,-130.3201,44.31,72,91,1.88
217,Yulara,AU,2022-04-26 16:03:39,-25.2406,130.9889,64.98,41,46,6.71
218,Cockburn Town,TC,2022-04-26 16:03:40,21.4612,-71.1419,76.69,70,5,19.26
219,Jaisalmer,IN,2022-04-26 16:03:40,26.9147,70.9181,98.29,10,0,6.2
220,Torbay,CA,2022-04-26 16:03:18,47.6666,-52.7314,42.89,91,100,16.11
221,Nhulunbuy,AU,2022-04-26 16:03:41,-12.2333,136.7667,77.61,94,37,0.0
222,Kaifeng,CN,2022-04-26 16:03:41,34.7911,114.3483,67.35,26,99,14.27
223,Moindou,NC,2022-04-26 16:03:43,-21.6924,165.677,70.3,66,100,5.86
224,Felanitx,ES,2022-04-26 16:03:44,39.4696,3.1483,72.14,50,14,10.38
225,Sorong,ID,2022-04-26 16:03:54,-0.8833,131.25,79.88,81,100,1.19
226,Sabang,ID,2022-04-26 16:03:54,5.8933,95.3214,84.29,67,99,4.65
227,Zyryanovsk,KZ,2022-04-26 16:03:55,49.7386,84.2719,42.93,68,35,2.06
228,Auki,SB,2022-04-26 16:03:55,-8.7676,160.7034,77.52,87,27,3.83
229,Iquique,CL,2022-04-26 16:00:47,-20.2208,-70.1431,69.73,68,100,9.17
230,Presidente Medici,BR,2022-04-26 16:03:56,-11.1753,-61.9014,87.26,64,88,3.38
231,Umm Lajj,SA,2022-04-26 16:03:56,25.0213,37.2685,79.0,62,6,5.19
232,Miles City,US,2022-04-26 15:59:35,46.4083,-105.8406,54.43,46,6,11.12
233,Mapastepec,MX,2022-04-26 16:03:56,15.4333,-92.9,89.55,54,67,6.13
234,Aklavik,CA,2022-04-26 16:03:57,68.2191,-135.0107,28.29,94,99,4.72
235,Buchanan,LR,2022-04-26 16:03:57,5.8808,-10.0467,84.0,74,100,6.29
236,Ciudad Bolivar,VE,2022-04-26 16:03:58,8.1222,-63.5497,89.8,51,99,4.63
237,Skibbereen,IE,2022-04-26 16:03:58,51.55,-9.2667,57.11,74,12,13.91
238,Jorochito,BO,2022-04-26 16:03:58,-18.05,-63.4333,86.0,57,31,12.82
239,Yamasaki,JP,2022-04-26 16:03:59,35.0,134.55,65.34,98,100,5.86
240,Ayorou,NE,2022-04-26 16:03:59,14.7308,0.9174,104.25,8,4,10.89
241,Bukama,CD,2022-04-26 16:04:00,-9.2,25.85,77.43,77,67,2.37
242,Vardo,NO,2022-04-26 16:04:00,70.3705,31.1107,19.38,73,40,28.77
243,Samarai,PG,2022-04-26 16:04:01,-10.6167,150.6667,81.45,79,73,6.6
244,Jamadoba,IN,2022-04-26 16:04:01,23.7167,86.4,90.99,16,25,7.36
245,Grindavik,IS,2022-04-26 16:04:01,63.8424,-22.4338,45.07,76,75,6.91
246,Zhigansk,RU,2022-04-26 16:04:02,66.7697,123.3711,5.09,94,21,7.38
247,Cidreira,BR,2022-04-26 16:03:44,-30.1811,-50.2056,73.63,80,100,6.64
248,Kota Belud,MY,2022-04-26 16:04:02,6.351,116.4305,76.39,89,97,3.67
249,Paamiut,GL,2022-04-26 16:04:03,61.994,-49.6678,33.51,85,100,26.24
250,Rondonopolis,BR,2022-04-26 16:04:03,-16.4708,-54.6356,93.0,40,20,8.14
251,Shirpur,IN,2022-04-26 16:04:04,21.35,74.8833,97.59,13,0,13.51
252,Shimoda,JP,2022-04-26 16:04:04,34.6667,138.95,71.1,95,100,24.07
253,Yablonovo,RU,2022-04-26 16:04:05,50.8523,37.3574,59.77,70,75,9.26
254,Lamar,US,2022-04-26 16:04:05,33.6668,-95.5836,64.63,48,0,9.44
255,Rio Largo,BR,2022-04-26 16:04:06,-9.4783,-35.8533,86.45,58,75,12.66
256,Methoni,GR,2022-04-26 16:04:06,36.8197,21.7049,75.06,63,100,14.29
257,Arman,RU,2022-04-26 16:04:07,59.7,150.1667,23.22,77,99,6.06
258,Ingham,US,2022-04-26 16:04:07,42.6,-84.3833,44.22,72,100,10.36
259,Bilibino,RU,2022-04-26 16:04:08,68.0546,166.4372,18.05,86,100,5.1
260,Innisfail,AU,2022-04-26 16:04:08,-17.5333,146.0333,74.5,93,96,4.7
