City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
288,North Myrtle Beach,US,33.816,-78.68,79.11,54,20,9.22,few clouds
289,Hami,CN,42.8,93.45,70.52,30,30,8.43,scattered clouds
290,Itoman,JP,26.1247,127.6694,75.97,96,75,8.05,broken clouds
291,Zemio,CF,5.0314,25.1361,71.89,91,96,2.24,overcast clouds
292,Rocha,UY,-34.4833,-54.3333,61.45,82,98,0.89,overcast clouds
293,Catuday,PH,16.2923,119.8062,81.01,73,95,9.44,overcast clouds
294,Ermelo,ZA,-26.5333,29.9833,50.7,50,49,3.98,scattered clouds
295,Clarksdale,US,34.2001,-90.5709,73.38,64,75,10.36,broken clouds
296,Sola,VU,-13.8833,167.55,81.63,71,3,20.02,clear sky
297,Cambridge,CA,43.3601,-80.3127,62.04,36,0,8.05,clear sky
298,Limoeiro Do Ajuru,BR,-1.8953,-49.3806,78.66,89,91,5.99,heavy intensity rain
299,Ordu,TR,40.9086,37.6845,39.7,94,100,2.35,overcast clouds
300,Mandalgovi,MN,45.7625,106.2708,39.79,58,0,5.37,clear sky
301,Faya,SA,18.3851,42.4509,64.92,42,86,3.13,overcast clouds
302,Manokwari,ID,-0.8667,134.0833,79.27,80,27,5.01,scattered clouds
303,Talnakh,RU,69.4865,88.3972,7.34,82,4,12.91,clear sky
304,Tilichiki,RU,60.4667,166.1,31.53,99,100,6.31,overcast clouds
305,Biltine,TD,14.5333,20.9167,90.73,11,41,7.34,scattered clouds
306,Conde,BR,-7.2597,-34.9075,74.66,94,75,6.91,broken clouds
307,Hobyo,SO,5.3505,48.5268,82.78,81,20,21.3,light rain
308,Namibe,AO,-15.1961,12.1522,73.06,69,1,1.79,clear sky
309,Dudinka,RU,69.4058,86.1778,7.14,96,80,11.5,broken clouds
310,Umm Lajj,SA,25.0213,37.2685,76.69,47,0,10.74,clear sky
311,Mugur-Aksy,RU,50.35,90.5,43.74,59,20,6.04,few clouds
312,Cayenne,GF,4.9333,-52.3333,82.44,1,75,8.05,broken clouds
313,Lorengau,PG,-2.0226,147.2712,82.47,82,61,13.51,broken clouds
314,Mandawar,IN,29.5,78.1333,81.63,21,0,4.12,clear sky
315,Vestmannaeyjar,IS,63.4427,-20.2734,44.2,89,100,25.72,light rain
316,Mount Pleasant,US,32.7941,-79.8626,78.01,51,100,13.8,overcast clouds
317,Bima,ID,-8.4667,118.7167,77.2,95,42,3.98,scattered clouds
318,Turayf,SA,31.6725,38.6637,61.05,51,0,11.5,clear sky
319,Esperance,AU,-33.8667,121.9,51.64,48,98,18.32,overcast clouds
320,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,82.04,29,76,7.54,broken clouds
321,La Ronge,CA,55.1001,-105.2842,61.05,39,100,8.05,overcast clouds
322,Arlit,NE,18.7369,7.3853,94.1,13,100,7.99,overcast clouds
323,Iqaluit,CA,63.7506,-68.5145,29.93,46,75,12.66,broken clouds
324,Igarka,RU,67.4667,86.5833,10.67,87,34,22.24,scattered clouds
325,Kununurra,AU,-15.7667,128.7333,73.38,31,7,6.91,clear sky
326,Rawson,AR,-43.3002,-65.1023,74.14,34,29,7.67,scattered clouds
